school,la,urn,KS4_Outcome,OFSTED,OFSTED_Teaching,Income,Teaching,0ly,TA,Premises,Office,Catering,0ort,Energy,Learning_Resources,ICT_Resources,Consultancy,Other,Expenditure,,,,,,,,,,,,,,,,,,,,,,,,
City of London Academy The - Southwark,Southwark,2106905,66%, Good , Good ,9370.23915,0,216.1204606,0,688.2196634,1182.462356,273.6935341,75.28786537,76.17360496,572.1877768,0,70.8591674,1328.609389,9550.044287,,,,,,,,,,,,,,,,,,,,,,,,
Southfields Community College,Wandsworth,2125405,62%, Good , Good ,9478.985507,4000,0,0,59.42028986,2384.057971,0.724637681,24.63768116,218.115942,1181.884058,136.9565217,42.02898551,165.2173913,8213.043478,,,,,,,,,,,,,,,,,,,,,,,,
Woodside High School - Hargingey,Haringey,3094034,61%, Outstanding , Outstanding ,9494.423792,4547.707559,131.3506815,1157.372986,490.7063197,1147.459727,340.7682776,76.82775713,147.4597274,416.3568773,0,59.4795539,317.2242875,8832.713755,,,,,,,,,,,,,,,,,,,,,,,,
Bacon's College,Southwark,2106911,66%, Good , Good ,9508.88681,4366.697848,124.4153414,756.7820393,460.243218,1150.608045,124.4153414,385.4069224,146.8662301,557.5304022,62.67539757,35.54724041,449.9532273,8621.141254,,,,,,,,,,,,,,,,,,,,,,,,
Mossbourne Community Academy,Hackney,2046905,84%, Outstanding , Outstanding ,9674.814815,4875.555556,47.40740741,989.6296296,786.6666667,980.7407407,301.4814815,99.25925926,117.7777778,357.7777778,0,150.3703704,871.1111111,9577.777778,,,,,,,,,,,,,,,,,,,,,,,,
Bethnal Green Academy,Tower Hamlets,2114284,74%, Outstanding , Outstanding ,9788.697789,4147.420147,571.2530713,907.8624079,640.04914,1988.943489,288.6977887,421.3759214,0,352.5798526,0,0,436.1179361,9754.299754,,,,,,,,,,,,,,,,,,,,,,,,
Corelli College,Greenwich,2034243,50%, Req Improve , Req Improve ,9924.911661,3512.367491,0,980.565371,1568.021201,838.3392226,86.57243816,148.409894,147.5265018,1069.787986,0,0,293.2862191,8644.876325,,,,,,,,,,,,,,,,,,,,,,,,
Petchey Academy The,Hackney,2046906,66%, Good , Good ,9925.417076,4405.299313,209.0284593,932.2865554,856.7222767,960.7458292,379.7841021,164.8675172,224.7301276,472.0314033,0,39.25417076,1299.313052,9944.062807,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Academy The - Hackney,Hackney,2046907,61%, Good , Good ,10112.91963,4658.189217,88.50457782,1532.044761,736.5208545,1874.872838,436.4191251,229.9084435,149.5422177,619.5320448,0,101.7293998,1519.837233,11947.10071,,,,,,,,,,,,,,,,,,,,,,,,
Westminster City School,Westminster,2134687,64%, Good , Good ,10244.10541,5314.840499,267.6837725,851.5950069,671.2898752,1355.062413,131.7614424,24.96532594,0,497.9195562,0,0,427.184466,9542.302358,,,,,,,,,,,,,,,,,,,,,,,,
Westminster Academy,Westminster,2136906,69%, Outstanding , Outstanding ,10660.28226,4416.330645,351.8145161,497.983871,584.6774194,1218.75,244.9596774,162.2983871,169.3548387,1647.177419,0,0,658.266129,9951.612903,,,,,,,,,,,,,,,,,,,,,,,,
St Martin in the Fields High School for Girls,Lambeth,2085404,63%, Outstanding , Good ,11200.23015,7258.918297,0,0,202.5316456,1547.756041,1.150747986,0,140.3912543,1784.810127,0,0,-16.11047181,10919.44764,,,,,,,,,,,,,,,,,,,,,,,,
