school,la,urn,KS4_Outcome,OFSTED,OFSTED_Teaching,Income,Teaching,0ly,TA,Premises,Office,Catering,0ort,Energy,Learning_Resources,ICT_Resources,Consultancy,Other,Expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Coopers' Company and Coborn School The,Havering,3115402,86%, Good , Good ,6295.176386,3280.777538,154.787617,300.9359251,601.1519078,537.0770338,-2.159827214,48.95608351,116.6306695,736.5010799,91.43268539,17.27861771,144.7084233,6028.077754,,,,,,,,,,,,,,,,,,,,,,,,
St Edward's Church of England School Sixth Form College,Havering,3114600,63%, Req Improve , Req Improve ,6301.636789,3586.90569,256.4302416,738.893219,519.8752923,758.3787997,9.353078722,32.73577553,98.98674981,69.36866719,108.3398285,0,271.2392829,6450.506625,,,,,,,,,,,,,,,,,,,,,,,,
Uxbridge High School,Hillingdon,3125404,45%, Req Improve , Req Improve ,6312.700965,2894.694534,106.9131833,330.3858521,663.9871383,902.733119,83.60128617,165.5948553,70.73954984,177.6527331,30.54662379,98.87459807,374.5980707,5900.321543,,,,,,,,,,,,,,,,,,,,,,,,
Christ's College Finchley,Barnet,3024211,51%, Req Improve , Req Improve ,6325.732899,3853.420195,62.97502714,460.369164,372.4212812,692.7252986,52.11726384,132.4647123,119.4353963,317.0466884,0,0,192.1824104,6255.157438,,,,,,,,,,,,,,,,,,,,,,,,
Carshalton Boys Sports College,Sutton,3194000,57%, Good , Good ,6328.358209,3202.321725,40.63018242,697.3466003,467.6616915,732.172471,174.1293532,33.99668325,82.08955224,455.2238806,0,27.36318408,800.1658375,6713.101161,,,,,,,,,,,,,,,,,,,,,,,,
Copthall School,Barnet,3024210,58%, Good , Good ,6367.753623,3244.565217,713.7681159,579.7101449,362.3188406,376.8115942,56.15942029,179.3478261,86.95652174,481.884058,79.71014493,0,270.8333333,6432.065217,,,,,,,,,,,,,,,,,,,,,,,,
Drayton Manor High School,Ealing,3075403,67%, Outstanding , Outstanding ,6382.057716,3409.033877,0,0,284.1907152,1354.454203,91.59347553,20.70263488,0,494.3538269,0,21.32998745,277.2898369,5952.948557,,,,,,,,,,,,,,,,,,,,,,,,
Claremont High School Academy Trust,Brent,3045400,75%, Outstanding , Good ,6397.234444,3901.319925,109.3651791,311.7536141,285.9836581,736.0150849,-57.82526713,326.2099309,94.28032684,345.0659962,0,0,541.1690761,6593.337524,,,,,,,,,,,,,,,,,,,,,,,,
Hall Mead School,Havering,3114000,73%, Outstanding , Outstanding ,6424.116424,3688.149688,162.1621622,692.3076923,872.1413721,808.7318087,23.90852391,165.2806653,81.08108108,456.3409563,0,7.276507277,128.8981289,7086.278586,,,,,,,,,,,,,,,,,,,,,,,,
Tiffin School (Boys),Kingston upon Thames,3145400,99%, Outstanding , Outstanding ,6427.643785,3252.319109,30.6122449,301.4842301,631.7254174,821.8923933,-1.85528757,46.38218924,96.47495362,603.8961039,37.10575139,39.88868275,283.8589981,6143.784787,,,,,,,,,,,,,,,,,,,,,,,,
St Columba's Catholic Boys' School,Bexley,3035401,65%, Good , Good ,6441.466855,3397.7433,330.0423131,612.1297602,724.9647391,599.4358251,43.7235543,121.2976023,88.85754584,270.8039492,238.3638928,135.4019746,-97.32016925,6465.444288,,,,,,,,,,,,,,,,,,,,,,,,
Bishop Ramsey,Hillingdon,3124600,78%, Outstanding , Outstanding ,6489.139179,3465.808528,54.70635559,510.8608206,320.9975865,537.4094932,14.48109413,172.9686243,86.08205953,629.9275945,0,0,309.7345133,6102.976669,,,,,,,,,,,,,,,,,,,,,,,,
Erith School,Bexley,3034022,43%, Req Improve , Req Improve ,6496.708861,3312.405063,63.29113924,649.1139241,342.278481,627.3417722,98.73417722,224.8101266,74.43037975,204.0506329,92.15189873,113.4177215,329.1139241,6131.139241,,,,,,,,,,,,,,,,,,,,,,,,
Salvatorian Roman Catholic College,Harrow,3105400,52%, Req Improve , Req Improve ,6505.509642,1878.787879,195.5922865,834.7107438,593.6639118,925.6198347,-122.5895317,59.22865014,0,196.969697,0,0,422.8650138,4984.848485,,,,,,,,,,,,,,,,,,,,,,,,
Campion School The - Hornchurch,Havering,3114700,84%, Good , Good ,6526.987242,3534.838077,125.6133464,560.3532875,828.2630029,615.3091266,84.39646712,18.64573111,83.41511286,584.8871443,0,0,-263.0029441,6172.718351,,,,,,,,,,,,,,,,,,,,,,,,
East Barnet School,Barnet,3024212,71%, Good , Good ,6547.511312,3913.273002,81.4479638,594.2684766,393.6651584,454.7511312,12.82051282,162.1417798,87.4811463,377.0739065,0,18.85369532,315.2337858,6411.010558,,,,,,,,,,,,,,,,,,,,,,,,
Hollyfield School and Sixth Form Centre The,Kingston upon Thames,3145404,60%, Req Improve , Req Improve ,6576.438849,2709.532374,0,415.4676259,296.7625899,447.8417266,7.194244604,36.8705036,67.44604317,336.3309353,21.58273381,40.4676259,248.2014388,4627.697842,,,,,,,,,,,,,,,,,,,,,,,,
Bentley Wood High School,Harrow,3104032,77%, Outstanding , Outstanding ,6605,3348,223,424,641,1152,121,74,63,90,0,0,161,6297,,,,,,,,,,,,,,,,,,,,,,,,
Queens Park Community School,Brent,3045403,51%, Good , Good ,6628.762542,4414.715719,702.3411371,858.6956522,458.1939799,767.5585284,76.08695652,26.75585284,142.9765886,193.1438127,0,135.451505,143.812709,7919.732441,,,,,,,,,,,,,,,,,,,,,,,,
Kingsmead School - Enfield,Enfield,3084015,61%, Good , Good ,6637.113402,3936.769759,184.8797251,288.6597938,503.0927835,673.5395189,120.9621993,101.0309278,84.53608247,294.1580756,0,27.49140893,272.8522337,6487.972509,,,,,,,,,,,,,,,,,,,,,,,,
